offset,length,text,translation
0xa875c,50,システムデータをセーブします。@rよろしいですか？,确定要保存系统数据吗？
0xa8790,32,前のチャプターまでジャンプします,跳转至上一章节
0xa87b4,24,押している間早戻しします,按住期间快退
0xa87d0,32,"オートモードをON,OFFします",开启/关闭自动模式
0xa87f4,24,押している間早送りします,按住期间快进
0xa8810,32,次のチャプターまでジャンプします,跳转至下一章节
0xa8834,24,クイックセーブを行います,进行快速保存
0xa8850,24,クイックロードを行います,进行快速读取
0xa886c,18,ボイスを再生します,播放语音
0xa88c0,46,クイックロードを行います。@rよろしいですか？,确定要读取快速存档吗？
0xa88f0,62,次のチャプターか選択肢までスキップします。@rよろしいですか？,确定要跳转至下一章节或选项吗？
0xa8930,46,前のチャプターに戻ります。@rよろしいですか？,确定要将返回上一章节吗？
0xa89f4,62,ゲームを終了して、タイトル画面に戻ります。@rよろしいですか？,确定要退出游戏并返回标题画面吗？
0xa8a34,30,未定義メニュー番号が呼ばれた。,调用了未定义的菜单编号。
0xa8b2c,4,はい,确定
0xa8b34,6,いいえ,取消
0xa8b3c,4,確認,确认
0xa9eac,50,システムデータをセーブします。@rよろしいですか？,确定要保存系统数据吗？
0xa9f90,40,設定を初期値に戻します。よろしいですか？,确定要将设置恢复为默认值吗？
0xaa7c4,18,スクリプト テスト,脚本测试
0xaa7d8,6,テスト,测试
0xaa7e0,10,普通に開始,正常开始
0xaa7ec,22,アストラエアの白き永遠,星辰恋曲的白色永恒
0xaaaac,48,シーンジャンプを実行します。@rよろしいですか？,确定要执行场景跳转吗？
0xaaae0,10,>>謎<<,>>谜<<
0xaaaec,4,先頭,最前
0xaaaf4,12,カーソル位置,光标位置
0xaab04,16,ゲーム内現在位置,游戏内当前位置
0xaab18,30,カーソル位置/ゲーム内現在位置,光标位置/游戏内当前位置
0xaab40,4,後尾,最后
0xab140,20,loading...,正在加载……
0xab158,18,データがありません,暂无数据
0xab3b4,62,セーブを行います。@r内容は上書きされますが、よろしいですか？,确定要保存存档吗？内容将会被覆盖。
0xab3f4,34,セーブを行います。よろしいですか？,确定要保存存档吗？
0xab418,30,ロードします。よろしいですか？,确定要读取此存档吗？
0xab438,46,このセーブデータを削除します。よろしいですか？,确定要删除此存档吗？
0xafd04,38,｢LiveArea｣が更新されました。,「LiveArea」已更新。
0xafd84,68,♥♥♥ Debug Menu ♥♥♥@r@z80.選択してください。,♥♥♥ Debug Menu ♥♥♥@r@z80.请选择。
0xafdcc,16,テストモード起動,启动测试模式
0xafde0,18,オールクリア状態に,设为全通关状态
0xafdf4,20,"CG,BGM 全取得","获取全CG、BGM"
0xafe0c,22,LiveArea™更新,更新LiveArea™
0xafe24,10,キャンセル,取消
